Country,Opportunity_Organization_Name,End_Date,End_Month,Number_of_KG,Price_per_KG_(converted)_Currency,Price_per_KG_(converted),Total_Sales_(converted)_Currency,Total_Sales_(converted),Component_Metrics:_ID
Guinea Bissau,LAMPADA DE CAMPO,7/6/2022,(06) JUN 2022,100045,USD,0.72,USD,72032.86,a1Rt0000005THJE
Guinea Bissau,LAMPADA DE CAMPO,8/6/2022,(06) JUN 2022,80070,USD,0.81,USD,64857.11,a1Rt0000005THJJ
Guinea Bissau,LAMPADA DE CAMPO,9/6/2022,(06) JUN 2022,100045,USD,0.9,USD,90041.07,a1Rt0000005THJT
Guinea Bissau,LAMPADA DE CAMPO,9/6/2022,(06) JUN 2022,25670,USD,0.9,USD,23103.15,a1Rt0000005THJs
Gambia,KWCFCS - KIANG,12/5/2022,(05) MAY 2022,195,USD,1.27,USD,247.39,a1Rt0000005THeW
Gambia,KWCFCS - KIANG,5/6/2022,(06) JUN 2022,750,USD,1.21,USD,907.6,a1Rt0000005THeX
Gambia,KWCFCS - KIANG,6/6/2022,(06) JUN 2022,520,USD,1.19,USD,619.12,a1Rt0000005THeY
Gambia,KWCFCS - KIANG,7/6/2022,(06) JUN 2022,1170,USD,1.19,USD,1393.02,a1Rt0000005THeZ
Guinea Bissau,CONGAI,8/6/2022,(06) JUN 2022,70981,USD,0.81,USD,57494.97,a1Rt0000005THeb
Guinea Bissau,CONGAI,8/6/2022,(06) JUN 2022,55679,USD,0.81,USD,45100.28,a1Rt0000005THec
Guinea Bissau,CONGAI,9/6/2022,(06) JUN 2022,68198,USD,0.9,USD,61378.59,a1Rt0000005THeg
Guinea Bissau,CONGAI,9/6/2022,(06) JUN 2022,72896,USD,0.9,USD,65606.82,a1Rt0000005THeh
Guinea Bissau,CONGAI,9/6/2022,(06) JUN 2022,79684,USD,0.9,USD,71716.05,a1Rt0000005THel
Guinea Bissau,CONGAI,9/6/2022,(06) JUN 2022,70985,USD,0.9,USD,63886.9,a1Rt0000005THem
Guinea Bissau,CONGAI,8/6/2022,(06) JUN 2022,78543,USD,0.81,USD,63620.23,a1Rt0000005THeq
Guinea Bissau,CONGAI,8/6/2022,(06) JUN 2022,80946,USD,0.81,USD,65566.67,a1Rt0000005THer
Guinea Bissau,CONGAI,8/6/2022,(06) JUN 2022,58647,USD,0.81,USD,47504.37,a1Rt0000005THev
Guinea Bissau,CONGAI,8/6/2022,(06) JUN 2022,79980,USD,0.81,USD,64784.21,a1Rt0000005THew
Guinea Bissau,CONGAI,8/6/2022,(06) JUN 2022,60340,USD,0.81,USD,48875.71,a1Rt0000005THf0
Guinea Bissau,CONGAI,8/6/2022,(06) JUN 2022,56457,USD,0.81,USD,45730.46,a1Rt0000005THf1
Guinea Bissau,CONGAI,9/6/2022,(06) JUN 2022,60996,USD,0.81,USD,49407.07,a1Rt0000005THf5
Guinea Bissau,CONGAI,9/6/2022,(06) JUN 2022,72062,USD,0.81,USD,58370.59,a1Rt0000005THf6
Guinea Bissau,CONGAI,9/6/2022,(06) JUN 2022,80457,USD,0.9,USD,72411.76,a1Rt0000005THfA
Guinea Bissau,CONGAI,9/6/2022,(06) JUN 2022,73964,USD,0.9,USD,66568.02,a1Rt0000005THfB
Guinea Bissau,CONGAI,8/6/2022,(06) JUN 2022,61680,USD,0.81,USD,49961.12,a1Rt0000005THfF
Guinea Bissau,CONGAI,8/6/2022,(06) JUN 2022,65769,USD,0.81,USD,53273.23,a1Rt0000005THfG
Guinea Bissau,CONGAI,7/6/2022,(06) JUN 2022,89684,USD,0.81,USD,72644.5,a1Rt0000005THfK
Guinea Bissau,CONGAI,7/6/2022,(06) JUN 2022,91090,USD,0.81,USD,73783.37,a1Rt0000005THfL
Guinea Bissau,WAQUILARE,25/05/2022,(05) MAY 2022,59500,USD,0.72,USD,42840.27,a1Rt0000005THg8
Guinea Bissau,WAQUILARE,23/05/2022,(05) MAY 2022,59350,USD,0.81,USD,48073.8,a1Rt0000005THg9
Guinea Bissau,WAQUILARE,1/5/2022,(05) MAY 2022,59510,USD,0.68,USD,40169.5,a1Rt0000005THgI
Guinea Bissau,WAQUILARE,1/5/2022,(05) MAY 2022,28475,USD,0.72,USD,20502.13,a1Rt0000005THgJ
Guinea Bissau,WAQUILARE,1/5/2022,(05) MAY 2022,59500,USD,0.81,USD,48195.3,a1Rt0000005THgN
Guinea Bissau,N'DELUGAN,11/6/2022,(06) JUN 2022,160000,USD,0.9,USD,144000.91,a1Rt0000005THgS
Guinea Bissau,N'DELUGAN,13/06/2022,(06) JUN 2022,150875,USD,0.9,USD,135788.36,a1Rt0000005THgX
